City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,kargil,34.57,76.1,7.63,94,98,1.99,IN,1583374908
88,nanortalik,60.14,-45.24,21.58,58,0,6.58,GL,1583374908
89,palencia,42.42,-4.5,53.01,85,100,11.01,ES,1583374908
90,port alfred,-33.59,26.89,71.01,81,0,7.0,ZA,1583374909
91,makat,47.65,53.35,42.57,86,80,4.52,KZ,1583374909
92,solnechnyy,50.72,136.63,23.68,87,100,4.03,RU,1583374909
93,carberry,49.87,-99.36,26.6,92,90,19.46,CA,1583374909
94,tuktoyaktuk,69.45,-133.04,-22.0,74,90,23.04,CA,1583374909
95,norman wells,65.28,-126.83,-13.0,69,75,9.17,CA,1583374909
96,longyearbyen,78.22,15.64,21.2,62,75,8.05,SJ,1583374909
97,camacha,33.08,-16.33,64.4,82,20,5.82,PT,1583374909
98,lebu,-37.62,-73.65,62.94,71,61,10.2,CL,1583374909
99,hay river,60.82,-115.8,-5.8,76,40,2.24,CA,1583374909
100,seoul,37.57,126.98,37.4,37,1,5.82,KR,1583374840
101,san miguel,13.48,-88.18,84.2,70,0,4.7,SV,1583374909
102,cherskiy,68.75,161.3,9.88,75,100,16.98,RU,1583374910
103,cape town,-33.93,18.42,68.0,93,75,11.41,ZA,1583374756
104,matara,5.95,80.54,80.08,74,24,5.84,LK,1583374810
105,hoyanger,61.22,6.07,34.0,94,97,6.93,NO,1583374910
106,kudahuvadhoo,2.67,72.89,82.9,70,100,8.66,MV,1583374910
107,lavrentiya,65.58,-171.0,1.62,92,0,4.36,RU,1583374910
108,kovdor,67.57,30.48,11.3,90,100,8.86,RU,1583374910
109,souillac,-20.52,57.52,79.0,100,40,3.74,MU,1583374910
110,clinton,42.59,-82.92,39.99,69,1,6.93,US,1583374829
111,camabatela,-8.19,15.38,61.88,97,34,1.95,AO,1583374910
112,ravar,31.27,56.81,44.02,42,0,9.17,IR,1583374910
113,labuan,5.28,115.24,80.6,94,75,4.7,MY,1583374856
114,kungurtug,50.6,97.52,11.84,87,99,1.9,RU,1583374911
115,rocha,-34.48,-54.33,60.89,95,0,6.35,UY,1583374911
116,coquimbo,-29.95,-71.34,60.8,87,90,6.93,CL,1583374911
117,champerico,14.3,-91.92,78.28,71,1,3.6,GT,1583374911
118,constitucion,-35.33,-72.42,61.5,57,1,6.58,CL,1583374911
119,maniitsoq,65.42,-52.9,14.68,40,41,0.85,GL,1583374911
120,saint-philippe,-21.36,55.77,78.8,100,90,4.7,RE,1583374911
121,naberera,-4.2,36.93,61.43,85,97,1.36,TZ,1583374911
122,cubuk,40.24,33.03,48.0,80,100,2.24,TR,1583374911
123,leningradskiy,69.38,178.42,3.87,56,89,0.47,RU,1583374911
124,kaeo,-35.1,173.78,73.0,100,100,1.99,NZ,1583374912
125,talcahuano,-36.72,-73.12,64.4,72,1,14.99,CL,1583374912
126,college,64.86,-147.8,-7.6,63,20,0.85,US,1583374912
127,upernavik,72.79,-56.15,-11.16,77,100,6.2,GL,1583374912
128,torbay,47.67,-52.73,39.99,86,90,29.97,CA,1583374912
129,esperance,-33.87,121.9,80.6,34,100,11.41,AU,1583374912
130,ancud,-41.87,-73.82,60.8,87,75,5.82,CL,1583374912
131,massakory,13.0,15.73,78.62,9,0,11.05,TD,1583374912
132,salalah,17.02,54.09,75.2,17,0,5.82,OM,1583374912
133,ambilobe,-13.2,49.05,74.71,93,100,1.88,MG,1583374912
134,thompson,55.74,-97.86,19.4,67,90,4.7,CA,1583374912
135,hithadhoo,-0.6,73.08,83.07,75,100,10.29,MV,1583374912
136,saint anthony,45.02,-93.22,37.99,69,75,17.22,US,1583374912
137,sumbe,-11.21,13.84,73.17,90,35,1.34,AO,1583374913
138,meulaboh,4.14,96.13,83.73,75,100,10.71,ID,1583374913
139,new norfolk,-42.78,147.06,64.4,93,75,5.82,AU,1583374913
140,biltine,14.53,20.92,74.44,20,26,6.38,TD,1583374913
141,mar del plata,-38.0,-57.56,69.01,100,90,6.93,AR,1583374913
142,hamburg,53.55,10.0,37.0,100,68,1.12,DE,1583374767
143,riverton,40.52,-111.94,51.8,66,1,6.93,US,1583374913
